id,slug,name,scientific_name,category,image_role,aspect_ratio,target_file_path,status,prompt,midjourney_command,alt_text
bael,bael,Bael,Aegle marmelos,tropical,Hero,16:9,public/images/fruits/bael/hero.jpg,pending,"Commercial editorial food photography of Indian Bael fruit (Wood Apple), right-weighted composition on the right third of the frame, leaving clean deep black negative space on the left. Shows one whole smooth hard grey-green shell alongside one cracked open shell revealing dense golden-amber aromatic resinous pulp studded with hairy seeds, resting on dark slate with dew drops. Chiaroscuro studio lighting, warm golden glow, 85mm, f/4.0. --ar 16:9","Commercial editorial food photography of Indian Bael fruit (Wood Apple), right-weighted composition on the right third of the frame, leaving clean deep black negative space on the left. Shows one whole smooth hard grey-green shell alongside one cracked open shell revealing dense golden-amber aromatic resinous pulp studded with hairy seeds, resting on dark slate with dew drops. Chiaroscuro studio lighting, warm golden glow, 85mm, f/4.0. --ar 16:9 --style raw --v 6.1",Cracked open sacred Bael wood apple showing aromatic golden amber sticky pulp on dark stone with fresh green bael leaves
bael,bael,Bael,Aegle marmelos,tropical,Macro-Break,16:9,public/images/fruits/bael/macro-break.jpg,pending,"Extreme macro photography of bael fruit interior, focusing on viscous sticky golden-orange mucilage fibers, translucent resin pockets, aromatic botanical texture, dark slate, 100mm macro lens, f/2.8. --ar 16:9","Extreme macro photography of bael fruit interior, focusing on viscous sticky golden-orange mucilage fibers, translucent resin pockets, aromatic botanical texture, dark slate, 100mm macro lens, f/2.8. --ar 16:9 --style raw --v 6.1",Extreme macro photograph of translucent golden bael mucilage pockets and glandular essential oil cavities
banana,banana,Banana,Musa acuminata,tropical,Hero,16:9,public/images/fruits/banana/hero.jpg,ready,"Commercial editorial food photography of A hand of vibrant golden ripe bananas with delicate sugar freckles alongside a sliced cross-section revealing its creamy ivory core on dark slate, right-weighted composition, dark slate plinth, chiaroscuro lighting, deep black background, 85mm lens, 8k. --ar 16:9","Commercial editorial food photography of A hand of vibrant golden ripe bananas with delicate sugar freckles alongside a sliced cross-section revealing its creamy ivory core on dark slate, right-weighted composition, dark slate plinth, chiaroscuro lighting, deep black background, 85mm lens, 8k. --ar 16:9 --style raw --v 6.1",A hand of vibrant golden ripe bananas with delicate sugar freckles alongside a sliced cross-section revealing its creamy ivory core on dark slate
banana,banana,Banana,Musa acuminata,tropical,Macro-Break,16:9,public/images/fruits/banana/macro-break.jpg,ready,"Extreme macro food science photography of Extreme macro of sliced ripe banana cross-section displaying glistening starch parenchyma and tri-radial locule ovules, 100mm macro lens, f/2.8, shallow depth of field, crystalline cellular detail, dark slate. --ar 16:9","Extreme macro food science photography of Extreme macro of sliced ripe banana cross-section displaying glistening starch parenchyma and tri-radial locule ovules, 100mm macro lens, f/2.8, shallow depth of field, crystalline cellular detail, dark slate. --ar 16:9 --style raw --v 6.1",Extreme macro of sliced ripe banana cross-section displaying glistening starch parenchyma and tri-radial locule ovules
ber,ber,Ber,Ziziphus mauritiana,stone-fruit,Hero,16:9,public/images/fruits/ber/hero.jpg,pending,"Commercial editorial food photography of fresh Indian Ber (Jujube), right-weighted composition on the right third of the frame, leaving clean deep dark negative space on the left. Displays a cluster of glossy golden-green and bronze-mottled oval fruits with green leaves, one sliced open showing crisp apple-like ivory flesh and pointed central stone, resting on wet dark slate. Chiaroscuro lighting, 85mm, f/4.0. --ar 16:9","Commercial editorial food photography of fresh Indian Ber (Jujube), right-weighted composition on the right third of the frame, leaving clean deep dark negative space on the left. Displays a cluster of glossy golden-green and bronze-mottled oval fruits with green leaves, one sliced open showing crisp apple-like ivory flesh and pointed central stone, resting on wet dark slate. Chiaroscuro lighting, 85mm, f/4.0. --ar 16:9 --style raw --v 6.1",Freshly harvested crisp green and golden Indian Ber jujube fruits piled on earthenware pottery with spiny foliage
ber,ber,Ber,Ziziphus mauritiana,stone-fruit,Macro-Break,16:9,public/images/fruits/ber/macro-break.jpg,pending,"Extreme macro photography of sliced ber fruit, focusing on crisp porous white parenchymal cell fracture, fine glistening surface moisture, glossy yellow-green skin edge, dark slate, 100mm macro, f/2.8. --ar 16:9","Extreme macro photography of sliced ber fruit, focusing on crisp porous white parenchymal cell fracture, fine glistening surface moisture, glossy yellow-green skin edge, dark slate, 100mm macro, f/2.8. --ar 16:9 --style raw --v 6.1",Extreme macro photograph of crisp white Ber flesh texture showing cellular water turgor and glossy thin skin
blackberry,blackberry,Blackberry,Rubus fruticosus,berry,Hero,16:9,public/images/fruits/blackberry/hero.jpg,pending,"Commercial editorial food photography of wild blackberries, right-weighted composition on the right third of the frame, leaving clean deep dark negative space on the left. A cluster of glossy jet-black aggregate drupelets with deep crimson undertones and a serrated green bramble leaf, one drupelet cluster sliced showing juice, resting on wet dark slate with dew drops. Chiaroscuro studio lighting, specular glints on each drupelet, 85mm, f/4.0. --ar 16:9","Commercial editorial food photography of wild blackberries, right-weighted composition on the right third of the frame, leaving clean deep dark negative space on the left. A cluster of glossy jet-black aggregate drupelets with deep crimson undertones and a serrated green bramble leaf, one drupelet cluster sliced showing juice, resting on wet dark slate with dew drops. Chiaroscuro studio lighting, specular glints on each drupelet, 85mm, f/4.0. --ar 16:9 --style raw --v 6.1",Freshly harvested plump glossy black blackberries in rustic wooden basket on dark slate
blackberry,blackberry,Blackberry,Rubus fruticosus,berry,Macro-Break,16:9,public/images/fruits/blackberry/macro-break.jpg,pending,"Extreme macro photography of blackberry aggregate fruit, focusing on individual plump spherical black drupelets, microscopic pistil hairs (styles), glistening liquid meniscus between drupelets, dark slate, 100mm macro, f/2.8. --ar 16:9","Extreme macro photography of blackberry aggregate fruit, focusing on individual plump spherical black drupelets, microscopic pistil hairs (styles), glistening liquid meniscus between drupelets, dark slate, 100mm macro, f/2.8. --ar 16:9 --style raw --v 6.1",Extreme macro photograph of ripe glossy blackberry drupelets showing cell structure and deep anthocyanin pigmentation
blueberry,blueberry,Blueberry,Vaccinium corymbosum,berry,Hero,16:9,public/images/fruits/blueberry/hero.jpg,ready,"Commercial editorial food photography of A cluster of fresh ripe blueberries with dramatic studio lighting against a dark slate background, showing their characteristic dusty blue bloom and dew drops, right-weighted composition, dark slate plinth, chiaroscuro lighting, deep black background, 85mm lens, 8k. --ar 16:9","Commercial editorial food photography of A cluster of fresh ripe blueberries with dramatic studio lighting against a dark slate background, showing their characteristic dusty blue bloom and dew drops, right-weighted composition, dark slate plinth, chiaroscuro lighting, deep black background, 85mm lens, 8k. --ar 16:9 --style raw --v 6.1","A cluster of fresh ripe blueberries with dramatic studio lighting against a dark slate background, showing their characteristic dusty blue bloom and dew drops"
blueberry,blueberry,Blueberry,Vaccinium corymbosum,berry,Macro-Break,16:9,public/images/fruits/blueberry/macro-break.jpg,ready,"Extreme macro food science photography of Macro close-up of fresh blueberries with waxy bloom, 100mm macro lens, f/2.8, shallow depth of field, crystalline cellular detail, dark slate. --ar 16:9","Extreme macro food science photography of Macro close-up of fresh blueberries with waxy bloom, 100mm macro lens, f/2.8, shallow depth of field, crystalline cellular detail, dark slate. --ar 16:9 --style raw --v 6.1",Macro close-up of fresh blueberries with waxy bloom
cantaloupe,cantaloupe,Cantaloupe,Cucumis melo,melon,Hero,16:9,public/images/fruits/cantaloupe/hero.jpg,pending,"Commercial editorial food photography of ripe cantaloupe (muskmelon), right-weighted composition on the right third of the frame, leaving clean deep black negative space on the left. Arrangement shows a round melon with textured tan corky netting alongside a thick sliced crescent wedge showing rich salmon-orange juicy meat and seed cavity, resting on dark slate with water droplets. Warm chiaroscuro lighting, 85mm, f/4.0. --ar 16:9","Commercial editorial food photography of ripe cantaloupe (muskmelon), right-weighted composition on the right third of the frame, leaving clean deep black negative space on the left. Arrangement shows a round melon with textured tan corky netting alongside a thick sliced crescent wedge showing rich salmon-orange juicy meat and seed cavity, resting on dark slate with water droplets. Warm chiaroscuro lighting, 85mm, f/4.0. --ar 16:9 --style raw --v 6.1",cantaloupe botanical still life on dark slate
cantaloupe,cantaloupe,Cantaloupe,Cucumis melo,melon,Macro-Break,16:9,public/images/fruits/cantaloupe/macro-break.jpg,pending,"Extreme macro photography of sliced cantaloupe, focusing on glistening salmon-orange melon flesh, delicate cellular fiber grain, pooling droplets of sweet hydration water, dark slate, 100mm macro lens, f/2.8. --ar 16:9","Extreme macro photography of sliced cantaloupe, focusing on glistening salmon-orange melon flesh, delicate cellular fiber grain, pooling droplets of sweet hydration water, dark slate, 100mm macro lens, f/2.8. --ar 16:9 --style raw --v 6.1",Macro photograph of cantaloupe
cherry,cherry,Cherry,Prunus avium,stone-fruit,Hero,16:9,public/images/fruits/cherry/hero.jpg,pending,"Commercial editorial food photography of ripe dark red cherries, right-weighted composition on the right third of the frame, leaving clean deep matte dark negative space on the left. A pair of deep mahogany-red cherries with fresh green stems, one sliced cleanly in half showing dark ruby meat and tan stone, resting on wet dark slate with glistening water beads. Dramatic chiaroscuro studio lighting, mirror-like skin reflections, 85mm, f/4.0. --ar 16:9","Commercial editorial food photography of ripe dark red cherries, right-weighted composition on the right third of the frame, leaving clean deep matte dark negative space on the left. A pair of deep mahogany-red cherries with fresh green stems, one sliced cleanly in half showing dark ruby meat and tan stone, resting on wet dark slate with glistening water beads. Dramatic chiaroscuro studio lighting, mirror-like skin reflections, 85mm, f/4.0. --ar 16:9 --style raw --v 6.1",Pair of glossy deep-red sweet cherries with vibrant green stems against dark textured slate
cherry,cherry,Cherry,Prunus avium,stone-fruit,Macro-Break,16:9,public/images/fruits/cherry/macro-break.jpg,pending,"Extreme macro photography of sliced dark red cherry, focusing on glistening ruby-crimson anthocyanin pulp fibers, natural juice droplets clinging to the cut edge, dark slate, 100mm macro lens, f/2.8. --ar 16:9","Extreme macro photography of sliced dark red cherry, focusing on glistening ruby-crimson anthocyanin pulp fibers, natural juice droplets clinging to the cut edge, dark slate, 100mm macro lens, f/2.8. --ar 16:9 --style raw --v 6.1",Extreme macro photograph of sliced dark cherry showing glistening wine-red flesh texture and central pit
coconut,coconut,Coconut,Cocos nucifera,tropical,Hero,16:9,public/images/fruits/coconut/hero.jpg,pending,"Commercial editorial food photography of fresh mature coconut, right-weighted composition on the right third of the frame, leaving clean deep dark negative space on the left. Displays a fibrous brown textured shell cracked open into clean halves revealing thick, pure snow-white solid endosperm meat with subtle splashes of fresh coconut water, resting on dark charcoal slate. Chiaroscuro lighting, crisp white contrast, 85mm, f/4.0. --ar 16:9","Commercial editorial food photography of fresh mature coconut, right-weighted composition on the right third of the frame, leaving clean deep dark negative space on the left. Displays a fibrous brown textured shell cracked open into clean halves revealing thick, pure snow-white solid endosperm meat with subtle splashes of fresh coconut water, resting on dark charcoal slate. Chiaroscuro lighting, crisp white contrast, 85mm, f/4.0. --ar 16:9 --style raw --v 6.1",Cracked fresh coconut showing thick pure white meat and brown shell on dark textured slate
coconut,coconut,Coconut,Cocos nucifera,tropical,Macro-Break,16:9,public/images/fruits/coconut/macro-break.jpg,pending,"Extreme macro photography of fresh white coconut meat, focusing on the dense fibrous cellular lattice of pure white endosperm, microscopic droplets of natural lauric oil on the surface, dark slate, 100mm macro, f/2.8. --ar 16:9","Extreme macro photography of fresh white coconut meat, focusing on the dense fibrous cellular lattice of pure white endosperm, microscopic droplets of natural lauric oil on the surface, dark slate, 100mm macro, f/2.8. --ar 16:9 --style raw --v 6.1",Extreme macro photograph of crisp white coconut endosperm meat texture and natural oil sheen
custard-apple,custard-apple,Custard Apple,Annona squamosa,tropical,Hero,16:9,public/images/fruits/custard-apple/hero.jpg,pending,"Commercial editorial food photography of ripe Custard Apple (Sugar Apple / Sitaphal), right-weighted composition on the right third of the frame, leaving clean deep dark negative space on the left. Shows one whole knobby pale-green segmented fruit alongside one broken open naturally revealing rich creamy ivory-white custard pulp segments surrounding glossy black seeds, resting on dark charcoal slate with dew drops. Chiaroscuro studio lighting, 85mm lens, f/4.0. --ar 16:9","Commercial editorial food photography of ripe Custard Apple (Sugar Apple / Sitaphal), right-weighted composition on the right third of the frame, leaving clean deep dark negative space on the left. Shows one whole knobby pale-green segmented fruit alongside one broken open naturally revealing rich creamy ivory-white custard pulp segments surrounding glossy black seeds, resting on dark charcoal slate with dew drops. Chiaroscuro studio lighting, 85mm lens, f/4.0. --ar 16:9 --style raw --v 6.1",Ripe green knobby custard apple pulled open displaying velvety white segments and dark seeds on dark slate
custard-apple,custard-apple,Custard Apple,Annona squamosa,tropical,Macro-Break,16:9,public/images/fruits/custard-apple/macro-break.jpg,pending,"Extreme macro photography of custard apple interior, focusing on velvety granular ivory-white custard pulp glistening with natural sugars, soft melting texture, jet-black seed contrast, dark slate, 100mm macro lens, f/2.8. --ar 16:9","Extreme macro photography of custard apple interior, focusing on velvety granular ivory-white custard pulp glistening with natural sugars, soft melting texture, jet-black seed contrast, dark slate, 100mm macro lens, f/2.8. --ar 16:9 --style raw --v 6.1",Extreme macro photograph of velvety white custard apple pulp texture and glossy dark seed
date,date,Date,Phoenix dactylifera,tropical,Hero,16:9,public/images/fruits/date/hero.jpg,pending,"Commercial editorial food photography of plump Medjool dates, right-weighted composition on the right third of the frame, leaving clean deep black negative space on the left. Shows a cluster of glossy wrinkled amber-brown dates on a palm twig, one torn open revealing soft caramel-textured fibrous interior and slender pointed pit, resting on dark slate. Warm chiaroscuro lighting, rich caramel highlights, 85mm, f/4.0. --ar 16:9","Commercial editorial food photography of plump Medjool dates, right-weighted composition on the right third of the frame, leaving clean deep black negative space on the left. Shows a cluster of glossy wrinkled amber-brown dates on a palm twig, one torn open revealing soft caramel-textured fibrous interior and slender pointed pit, resting on dark slate. Warm chiaroscuro lighting, rich caramel highlights, 85mm, f/4.0. --ar 16:9 --style raw --v 6.1",Lustrous amber-brown Medjool dates arranged on rustic clay pottery with one split open showing caramel flesh
date,date,Date,Phoenix dactylifera,tropical,Macro-Break,16:9,public/images/fruits/date/macro-break.jpg,pending,"Extreme macro photography of torn Medjool date, focusing on soft fibrous translucent caramel flesh, delicate sugar crystal micro-bloom, rich golden-amber tones, dark slate background, 100mm macro lens, f/2.8. --ar 16:9","Extreme macro photography of torn Medjool date, focusing on soft fibrous translucent caramel flesh, delicate sugar crystal micro-bloom, rich golden-amber tones, dark slate background, 100mm macro lens, f/2.8. --ar 16:9 --style raw --v 6.1",Extreme macro photograph of translucent caramelized date flesh and delicate crystalline sugar blooming under skin
dragonfruit,dragonfruit,Dragon Fruit,Selenicereus undatus,tropical,Hero,16:9,public/images/fruits/dragonfruit/hero.jpg,pending,"Commercial editorial food photography of vibrant red dragonfruit (pitaya), right-weighted composition positioned on the right third of the frame, leaving clean deep black negative space on the left. Featuring one whole fruit with fiery magenta skin and yellow-green tipped bracts, alongside a cleanly sliced half displaying crystalline snow-white pulp speckled with thousands of tiny edible black seeds, resting on a dark rustic slate slab with water droplets. Cinematic studio chiaroscuro lighting, neon-vivid natural contrast, deep black backdrop, 85mm lens, f/4.0, 8k. --ar 16:9","Commercial editorial food photography of vibrant red dragonfruit (pitaya), right-weighted composition positioned on the right third of the frame, leaving clean deep black negative space on the left. Featuring one whole fruit with fiery magenta skin and yellow-green tipped bracts, alongside a cleanly sliced half displaying crystalline snow-white pulp speckled with thousands of tiny edible black seeds, resting on a dark rustic slate slab with water droplets. Cinematic studio chiaroscuro lighting, neon-vivid natural contrast, deep black backdrop, 85mm lens, f/4.0, 8k. --ar 16:9 --style raw --v 6.1",Vibrant sliced dragon fruit showing bright pink rind and white seeded interior on dark slate
dragonfruit,dragonfruit,Dragon Fruit,Selenicereus undatus,tropical,Macro-Break,16:9,public/images/fruits/dragonfruit/macro-break.jpg,pending,"Extreme macro food photography of white dragonfruit flesh, ultra close-up of translucent mucilaginous cellular pulp studded with jet-black teardrop seeds, liquid light refraction, glistening micro-droplets of juice, dark slate background, shallow depth of field, 100mm macro, f/2.8. --ar 16:9","Extreme macro food photography of white dragonfruit flesh, ultra close-up of translucent mucilaginous cellular pulp studded with jet-black teardrop seeds, liquid light refraction, glistening micro-droplets of juice, dark slate background, shallow depth of field, 100mm macro, f/2.8. --ar 16:9 --style raw --v 6.1",Extreme macro photograph of sliced dragon fruit interior showing crisp cellular parenchyma and black seeds
durian,durian,Durian,Durio zibethinus,tropical,Hero,16:9,public/images/fruits/durian/hero.jpg,pending,"Commercial editorial food photography of King Durian (Musang King), right-weighted composition on the right third of the frame, leaving clean deep black negative space on the left. A cracked open section of spiky thorn-covered husk displaying two plump, pillowy golden custard-yellow aril pods resting in natural carpel chambers, on a dark slate slab. Dramatic chiaroscuro studio lighting, warm buttery rim light, 85mm, f/4.0. --ar 16:9","Commercial editorial food photography of King Durian (Musang King), right-weighted composition on the right third of the frame, leaving clean deep black negative space on the left. A cracked open section of spiky thorn-covered husk displaying two plump, pillowy golden custard-yellow aril pods resting in natural carpel chambers, on a dark slate slab. Dramatic chiaroscuro studio lighting, warm buttery rim light, 85mm, f/4.0. --ar 16:9 --style raw --v 6.1",Pried open spiky green durian displaying creamy golden custard aril lobes resting on rustic wood
durian,durian,Durian,Durio zibethinus,tropical,Macro-Break,16:9,public/images/fruits/durian/macro-break.jpg,pending,"Extreme macro photography of ripe durian custard aril, focusing on the velvety wrinkled golden-yellow skin membrane, dense creamy butter-like lipid texture, subtle glistening fatty sheen, 100mm macro, f/2.8. --ar 16:9","Extreme macro photography of ripe durian custard aril, focusing on the velvety wrinkled golden-yellow skin membrane, dense creamy butter-like lipid texture, subtle glistening fatty sheen, 100mm macro, f/2.8. --ar 16:9 --style raw --v 6.1",Extreme macro photograph of velvety golden durian pulp aril showing micro-lipid droplets and silken custard fold
fig,fig,Fig,Ficus carica,stone-fruit,Hero,16:9,public/images/fruits/fig/hero.jpg,pending,"Commercial editorial food photography of ripe Black Mission figs, right-weighted composition with the figs on the right third of the frame, leaving clean matte dark negative space on the left. Arrangement displays one whole purple-black fig with subtle dusty bloom alongside one gently torn fig revealing a lush crimson-red honeyed interior glistening with natural syrupy nectar and seeds, resting on a dark textured slate slab with a fresh fig leaf. Moody chiaroscuro studio lighting, warm specular highlights, deep dark background, 85mm lens, f/4.0. --ar 16:9","Commercial editorial food photography of ripe Black Mission figs, right-weighted composition with the figs on the right third of the frame, leaving clean matte dark negative space on the left. Arrangement displays one whole purple-black fig with subtle dusty bloom alongside one gently torn fig revealing a lush crimson-red honeyed interior glistening with natural syrupy nectar and seeds, resting on a dark textured slate slab with a fresh fig leaf. Moody chiaroscuro studio lighting, warm specular highlights, deep dark background, 85mm lens, f/4.0. --ar 16:9 --style raw --v 6.1",Ripe fresh figs split open showing jammy ruby floral interior on dark slate
fig,fig,Fig,Ficus carica,stone-fruit,Macro-Break,16:9,public/images/fruits/fig/macro-break.jpg,pending,"Extreme macro photography of an opened ripe fig, focusing on the intricate syconium interior showing hundreds of glistening crimson-red internal florets, dripping droplet of golden natural honey nectar, tiny crunchy seeds, dark slate background, 100mm macro lens, f/2.8, crystalline botanical detail. --ar 16:9","Extreme macro photography of an opened ripe fig, focusing on the intricate syconium interior showing hundreds of glistening crimson-red internal florets, dripping droplet of golden natural honey nectar, tiny crunchy seeds, dark slate background, 100mm macro lens, f/2.8, crystalline botanical detail. --ar 16:9 --style raw --v 6.1",Extreme macro photograph of sliced fresh fig interior showing hundreds of glistening seed drupelets
galia,galia,Galia Melon,Cucumis melo,melon,Hero,16:9,public/images/fruits/galia/hero.jpg,pending,"Commercial editorial food photography of Galia melon, right-weighted composition on the right third of the frame, leaving clean deep black negative space on the left. Displays one whole golden-yellow melon with intricate fine white net webbing alongside a sliced wedge revealing pale green-white melting interior flesh, resting on dark charcoal slate with dew drops. Chiaroscuro studio lighting, 85mm lens, f/4.0. --ar 16:9","Commercial editorial food photography of Galia melon, right-weighted composition on the right third of the frame, leaving clean deep black negative space on the left. Displays one whole golden-yellow melon with intricate fine white net webbing alongside a sliced wedge revealing pale green-white melting interior flesh, resting on dark charcoal slate with dew drops. Chiaroscuro studio lighting, 85mm lens, f/4.0. --ar 16:9 --style raw --v 6.1",galia botanical still life on dark slate
